Index,Part1,Part2,Part3,Part4,Formatted Question,Question Type_new,All_Correct_Answers,Option 1,Option 2,Option 3,Option 4,Option 5
13,कलम,लेखक,बल्ला,बल्लेबाज,कलम : लेखक :: बल्ला : ?,1,बल्लेबाज,ब्रश,सेनानी,स्टिक,बल्लेबाज,
14,आयतन,लीटर,क्षेत्र,हेक्टेयर,आयतन : लीटर :: क्षेत्र : ?,1,हेक्टेयर,हेक्टेयर,डिग्री,रेडियन,न्यूटन,
15,चंद्रमा,सैटेलाइट,धरती,ग्रह,चंद्रमा : सैटेलाइट :: धरती : ?,1,ग्रह,सूर्य,ग्रह,सौर प्रणाली,क्षुद्रग्रह,
16,मोमबत्ती,मोम,कागज,पल्प,मोमबत्ती : मोम :: कागज : ?,1,पल्प,लकड़ी,पेड़,बांस,पल्प,
17,विम्बलडन ट्रॉफी,टेनिस,वाकर कप,गोल्फ,विम्बलडन ट्रॉफी : टेनिस :: वाकर कप : ?,1,गोल्फ,हॉकी,पोलो,गोल्फ,कुश्ती,
18,डॉक्टर,अस्पताल,शिक्षक,स्कूल,डॉक्टर : अस्पताल :: शिक्षक : ?,1,स्कूल,कार्यालय,स्कूल,घर,फील्ड,
19,निर्माता,फिल्म,लेखक,पुस्तक,निर्माता : फिल्म :: लेखक : ?,1,पुस्तक,भोजन,अखबार,पुस्तक,कविता,
20,कलम,लेखक,तलवार,योद्धा,कलम : लेखक :: तलवार : ?,1,योद्धा,बढ़ई,योद्धा,दर्जी,किसान,
21,नेत्र,निकट दृष्टि,दांत,पाइरिया,नेत्र : निकट दृष्टि :: दांत : ?,1,पाइरिया,पाइरिया,मोतियाबिंद,ट्रेकोमा,एक्जिमा,
22,ओटावा,कनाडा,कैनबरा,ऑस्ट्रेलिया,ओटावा : कनाडा :: कैनबरा : ?,1,ऑस्ट्रेलिया,अर्जेंटीना,स्विट्जरलैंड,श्रीलंका,ऑस्ट्रेलिया,
23,रेस,थकान,उपवास,भूख,रेस : थकान :: उपवास : ?,1,भूख,भूख,नींद,ऊर्जा,रोग,
24,स्केल,लंबाई,ओडोमीटर,गति,स्केल : लंबाई :: ओडोमीटर : ?,1,गति,तापमान,करंट,गति,वर्षा,
25,बेटा,बेटी,भतीजा,भतीजी,बेटा : बेटी :: भतीजा : ?,1,भतीजी,लड़की,लेडी,चचेरा,भतीजी,
26,विषाणु विज्ञान,वायरस,कीटविज्ञान,कीड़े,विषाणु विज्ञान : वायरस :: कीटविज्ञान : ?,1,कीड़े,कीड़े,पशु,कवक,मछलियां,
27,कलम,लिखना,बंदूक,गोली मारना,कलम : लिखना :: बंदूक : ?,1,गोली मारना,खुदाई,गोली मारना,काटना,गार्ड,
28,झगड़ा,युद्ध,नाखुश,दुख,झगड़ा : युद्ध :: नाखुश : ?,1,दुख,खुश,दुख,इनकार,अस्वीकार,
29,लाल किला,दिल्ली,स्वर्ण मंदिर,अमृतसर,लाल किला : दिल्ली :: स्वर्ण मंदिर : ?,1,अमृतसर,आगरा,अमृतसर,जामा मस्जिद,ताजमहल,
30,गहरा,उथला,स्वतंत्रता,अनुशासन,दीप : उथला :: स्वतंत्रता : ?,1,अनुशासन,डेमोक्रेसी,अपराधी,जेल,अनुशासन,
31,असली,प्रामाणिक,मृगतृष्णा,भ्रम,असली : प्रामाणिक :: मृगतृष्णा : ?,1,भ्रम,छवि,वाष्पोत्सर्जन,प्रतिबिंब,भ्रम,
32,स्याम देश,बिल्ली,रोमेन,सलाद,स्याम देश : बिल्ली :: रोमेन : ?,2,सलाद,नस्ल,पिल्ला,स्थान,सलाद,पट्टा
33,फिंच,पक्षी,डेलमेटियन,कुत्ता,फिंच : पक्षी :: डेलमेटियन : ?,2,कुत्ता,टॉड,सरीसृप,कुत्ता,धानी,गुबरैला
34,पंखुड़ी,फूल,टायर,साइकिल,पंखुड़ी : फूल :: टायर : ?,2,साइकिल,काली मिर्च,साइकिल,गेंद,जूते,कुत्ते
35,लेखन,साहित्यिक चोरी,पैसा,दुर्विनियोजन,लेखन : साहित्यिक चोरी :: पैसा : ?,2,दुर्विनियोजन,धोखे,दुर्विनियोजन,चोरी,रोग,
36,संघनन,ठण्डा,वाष्पीकरण,गर्मी,संघनन : ठण्डा :: वाष्पीकरण : ?,2,गर्मी,गर्मी,कुक,सुनना,खरीद,
37,दाँत,चबाना,मन,सोचना,दाँत : चबाना :: मन : ?,2,सोचना,सोचना,गर्मी,स्वाद,झिलमिलाहट,
38,आंख,आँसू,ज्वालामुखी,लावा,आंख : आँसू :: ज्वालामुखी : ?,2,लावा,जल,लावा,धमनी,रोटी,
39,लॉन,घास,खाल,फर,लॉन : घास :: खाल : ?,2,फर,भेड़,बकरी,फर,खेत,
40,टेलीफोन,रिंग,दरवाज़ा,दस्तक,टेलीफोन : रिंग :: दरवाज़ा : ?,2,दस्तक,दस्तक,खुला,लकड़ी,कुंजी,
41,हमेशा,कभी नहीं,अक्सर,शायद,हमेशा : कभी नहीं :: अक्सर : ?,2,शायद,शायद,आम तौर पर,बहुधा,लापरवाही,
42,अपमान,अपमानित,गोली मारना,हत्या,अपमान : अपमानित :: गोली मारना : ?,2,हत्या,हत्या,अनादर,भौंकना,कड़ुआ,
43,सैनिक,रेजिमेंट,कुंडली,मोटर,सैनिक : रेजिमेंट :: कुंडली : ?,2,मोटर,बेयरिंग,मोटर,प्रिंटर,गैस,
44,समीर,आंधी,टपकना,धार,समीर : आंधी :: टपकना : ?,2,धार,नक्क़ाशी,कली,धार,सड़ांध,
45,कभी कभी,दुर्लभ,अक्सर,आमतौर पर,कभी कभी : दुर्लभ :: अक्सर : ?,2,आमतौर पर,कभी कभी,आमतौर पर,चुनिंदा,बराबर,
46,मृगनयनी,हिरन,साँड़,गाय,मृगनयनी : हिरन :: साँड़ : ?,2,गाय,शुतुरमुर्ग,साँड़,गदहा,गाय,
47,कुँवारी,कुँवारा,गाय,बैल,कुँवारी : कुँवारा :: गाय : ?,2,बैल,हाथी,चिकन,लोमडी,बैल,
48,उषाकाल,सन्ध्या,प्रस्तावना,उपसंहार,उषाकाल : सन्ध्या :: प्रस्तावना : ?,2,उपसंहार,दिन,नब्बे,उपसंहार,शाम,
49,मियामी,फ्लोरिडा,अल्बानी,न्यूयॉर्क,मियामी : फ्लोरिडा :: अल्बानी : ?,2,न्यूयॉर्क,न्यूयॉर्क,अल्बानी,सिडनी,अमेरिका,
50,ज्वालामुखी,लावा,खसकाना,भूकंप,ज्वालामुखी : लावा :: खसकाना : ?,2,भूकंप,भूकंप,दुख,नदी,रेत,
51,जूता,चमड़ा,राजमार्ग,डामर,जूता : चमड़ा :: राजमार्ग : ?,2,डामर,कंडक्टर,वैगन,डामर,डॉक्टर,
52,डायनासौर,ड्रैगन,हिम,आइस,डायनासौर : ड्रैगन :: हिम : ?,2,आइस,रहस्योद्घाटन,सैनिक,आइस,मध्यकालीन,
53,इंक,पेपर,चाक,ब्लैकबोर्ड,इंक : पेपर :: चाक : ?,2,ब्लैकबोर्ड,पेंसिल,पेंटिंग,ब्लैकबोर्ड,बॉलपॉइंट कलम,
54,निर्वाचित,अभिषेक,दण्डित,फांसी,निर्वाचित : अभिषेक :: दण्डित : ?,1,फांसी,स्नातक,फांसी,बर्खास्तगी,प्रदर्शनी,
55,भारी,फैट,खुशी,आनंद,भारी : फैट :: खुशी : ?,1,आनंद,बुरा,बदसूरत,आनंद,दुख,
56,उड़ना,चिड़िया,रेंगना,घोंघा,उड़ना : चिड़िया :: रेंगना : ?,1,घोंघा,वायुयान,घोंघा,जमीन,फूल,
57,घड़ी,टाइम,थर्मामीटर,तापमान,घड़ी : टाइम :: थर्मामीटर : ?,1,तापमान,हीट,विकिरण,ऊर्जा,तापमान,
58,आयात,निर्यात,व्यय,आय,आयात : निर्यात :: व्यय : ?,1,आय,घाटा,आय,ऋण,टैक्स,
59,महासागर,जल,ग्लेशियर,बर्फ,महासागर : जल :: ग्लेशियर : ?,1,बर्फ,रेफ्रिजरेटर,बर्फ,माउंटेन,गुफा,
60,चिकित्सा,बीमारी,पुस्तक,अज्ञान,चिकित्सा : बीमारी :: पुस्तक : ?,1,अज्ञान,अज्ञान,ज्ञान,लेखक,शिक्षक,
61,बैंक,नदी,समुद्रतट,सागर,बैंक : नदी :: समुद्रतट : ?,1,सागर,बाढ़,लहरें,सागर,बीच,
62,थंडर,बारिश,रात,अंधकार,थंडर : बारिश :: रात : ?,1,अंधकार,दिवस,डस्क,अंधकार,शाम,
63,कोर्ट,न्याय,स्कूल,शिक्षा,कोर्ट : न्याय :: स्कूल : ?,1,शिक्षा,शिक्षक,छात्र,अनभिज्ञता,शिक्षा,
64,समीर,चक्रवात,बूंदा-बांदी,बरसात,समीर : चक्रवात :: बूंदा-बांदी : ?,1,बरसात,भूकंप,तूफान,बाढ़,बरसात,
65,ऑक्सीजन,प्रज्वलित,कार्बन डाइऑक्साइड,बुझाना,ऑक्सीजन : प्रज्वलित :: कार्बन डाइऑक्साइड : ?,1,बुझाना,अलग,फोम,बुझाना,विस्फोट,
66,तेहरान,ईरान,बीजिंग,चीन,तेहरान : ईरान :: बीजिंग : ?,1,चीन,चीन,जापान,तुर्की,मलेशिया,
67,रोग,पैथोलॉजी,ग्रह,खगोल विज्ञान,रोग : पैथोलॉजी :: ग्रह : ?,1,खगोल विज्ञान,ज्योतिष,जियोलॉजी,खगोल विज्ञान,जीवाश्मिकी,
68,दूरदर्शिता,पूर्वज्ञान,निद्राभाव,अनिद्रा,दूरदर्शिता : पूर्वज्ञान :: निद्राभाव : ?,1,अनिद्रा,उपचार,रोग,अनिद्रा,अशांति,
69,महासागर,प्रशांत,द्वीप,ग्रीनलैंड,महासागर : प्रशांत :: द्वीप : ?,1,ग्रीनलैंड,ग्रीनलैंड,आयरलैंड,नीदरलैंड,बोर्नियो,
70,क्षयरोग,फेफड़ा,मोतियाबिंद,आँख,क्षयरोग : फेफड़ा :: मोतियाबिंद : ?,1,आँख,कान,गला,त्वचा,आँख,
71,ओएसिस,रेत,द्वीप,जल,ओएसिस : रेत :: द्वीप : ?,1,जल,नदी,सागर,जल,लहरें,
72,मेजर,बटालियन,कर्नल,रेजिमेंट,मेजर : बटालियन :: कर्नल : ?,1,रेजिमेंट,कंपनी,रेजिमेंट,सेना,सैनिक,इनमें से कोई नहीं
73,चिल्लाना,कानाफूसी,दौड़ना,पैदल आना,चिल्लाना : कानाफूसी :: दौड़ना : ?,1,पैदल आना,ठहरना,खड़ा होना,पैदल आना,फुदकना,इनमें से कोई नहीं
74,शराब,अंगूर,वोडका,आलू,शराब : अंगूर :: वोडका : ?,1,आलू,सेब,आलू,नारंगी,आटा,इनमें से कोई नहीं
75,धड़कना,काँपना,जाँचना,परीक्षा करना,धड़कना : काँपना :: जाँचना : ?,2,परीक्षा करना,दौड़ाना,नींद,परीक्षा करना,डांसर,हारना
76,मछली,स्कूल,वुल्फ,पैक,मछली : स्कूल :: वुल्फ : ?,2,पैक,पैक,जंगल,कबीले,मयूर,फार्म
77,ओडोमीटर,दूरी,स्केल,वजन,ओडोमीटर : दूरी :: स्केल : ?,2,वजन,वजन,चौड़ाई,फुट,स्पीड,आकार
78,वेट्रेस,​​रेस्तरां,शिक्षक,स्कूल,वेट्रेस : ​​रेस्तरां :: शिक्षक : ?,2,स्कूल,निदान,भूमिका,ट्रक,स्कूल,पुस्तक
79,अंटी,यार्न,जिस्ता,पेपर,अंटी : यार्न :: जिस्ता : ?,2,पेपर,नींबू,कोयला,पेपर,लकड़ी,एकड़
80,पैडल,साइकिल,पतवार,कश्ती,पैडल : साइकिल :: पतवार : ?,2,कश्ती,मानदण्ड,छलाँग,ऑटोमोबाइल,बेल्ट,कश्ती
81,खंड,भाग,परत,एक के ऊपर एक,खंड : भाग :: परत : ?,2,एक के ऊपर एक,एक के ऊपर एक,बंडल,कविता,रंगमंच,वक्ता
82,अवसादग्रस्त,दुख,क्षीण,थका,अवसादग्रस्त : दुख :: क्षीण : ?,2,थका,विचारशील,दण्डवत,परिश्रमी,प्रतिगामी,थका
83,ब्रिसल,ब्रश,कुंजी,पियानो,ब्रिसल : ब्रश :: कुंजी : ?,2,पियानो,पैर,परदा,कुर्सी,पियानो,मूर्तिकला
84,प्यासे,पानी,भूखे,भोजन,प्यासे : पानी :: भूखे : ?,1,भोजन,केक,ब्रेड,भोजन,दाल,
85,कपास,गठरी,अनाज,बोरा,कपास : गठरी :: अनाज : ?,2,बोरा,मथना,किण्वन,बोरा,पनीर,स्टेक
86,हाथी,दृढ़त्वचीय प्राणी,कंगारू,धानी प्राणी,हाथी : दृढ़त्वचीय प्राणी :: कंगारू : ?,2,धानी प्राणी,कृंतक,विडालवत्,धानी प्राणी,हार्स,घोंघा
87,मनोवैज्ञानिक,न्युरोसिस,नेत्र रोग विशेषज्ञ,मोतियाबिंद,मनोवैज्ञानिक : न्युरोसिस :: नेत्र रोग विशेषज्ञ : ?,2,मोतियाबिंद,मोतियाबिंद,अस्थिभंग,बच्चों का चिकित्सक,ओर्थपेडीस्ट,खसरा
88,देहाती,ग्रामीण,मेट्रोपोलिटन,शहरी,देहाती : ग्रामीण :: मेट्रोपोलिटन : ?,2,शहरी,शहरी,शरद,परोपकार,निशाचर,कृषि
89,दर्जी,सूट,संपादन,पांडुलिपि,दर्जी : सूट :: संपादन : ?,2,पांडुलिपि,एजेंट,पांडुलिपि,लेखक,राय,भवन
90,बाइडिंग,पुस्तक,फ़्रेम,पिक्चर,बाइडिंग : पुस्तक :: फ़्रेम : ?,2,पिक्चर,गिरोह,संग्रहालय,बढ़ई,हथौड़ा,पिक्चर
91,अन्वेषण,खोज,अनुसंधान,ज्ञान,अन्वेषण : खोज :: अनुसंधान : ?,2,ज्ञान,प्रलाप,ज्ञान,प्रिंट,संबंधित,जागरण
92,सैनिक,सेना,खिलाड़ी,टीम,सैनिक : सेना :: खिलाड़ी : ?,1,टीम,खेल,टूर्नामेण्ट,खेलकूद,कप्तान,टीम
93,वर्ग,घन,वृत्त,गोला,वर्ग : घन :: वृत्त : ?,1,गोला,गोला (आकाशीय पिण्ड),परिधि,व्यास,क्षेत्रफल,इनमें से कोई नहीं
94,गाय,दूध,वृक्ष,फल,गाय : दूध :: वृक्ष : ?,1,फल,तने,फल,लकड़ी,छाया,
95,खरगोश,बिल,पागल,पागलखाना,खरगोश : बिल :: पागल : ?,1,पागलखाना,जेलखाना,कोठरी,बैरक,पागलखाना,
96,लोहा,ठोस,पारा,द्रव,लोहा : ठोस :: पारा : ?,1,द्रव,ठोस,गैस,द्रव,वाष्प,इनमें से कोई नहीं
97,जर्नलिस्ट,समाचार,फिलाटेलिस्ट,पोस्टल स्टाम्प,जर्नलिस्ट : समाचार :: फिलाटेलिस्ट : ?,1,पोस्टल स्टाम्प,ट्रेन,मेडीसिन,पोस्टल स्टाम्प,एनीमल हसबैड्री,
98,स्टील,मिश्रधातु,जिंक,धातु,स्टील : मिश्रधातु :: जिंक : ?,1,धातु,धातु,मिश्रधातु,अधातु,हैलोजन,मिश्रण
99,बीमारी,पैथोलॉजी,ग्रह,खगोल विज्ञान,बीमारी : पैथोलॉजी :: ग्रह : ?,1,खगोल विज्ञान,सूर्य,सैटेलाइट,ज्योतिष,खगोल विज्ञान,
100,पाउण्ड,मुद्रा,पोलो,खेल,पाउण्ड : मुद्रा :: पोलो : ?,1,खेल,खेल,घोड़ा,सवारी,छड़ी,
101,कोशिका,ऊतक,ऊतक,अंग,कोशिका : ऊतक :: ऊतक : ?,1,अंग,वस्तु,कान,कागज,अंग,
102,कॉ-कॉ,बत्तख,हिनहिनाहट,घोड़ा,कॉ-कॉ : बत्तख :: हिनहिनाहट : ?,1,घोड़ा,लोमड़ी,घोड़ा,मेंढक,बिल्ली,
103,रक्त,शिरा,तेल,पाइपलाइन,रक्त : शिरा :: तेल : ?,1,पाइपलाइन,कार,इंजन,पाइपलाइन,पेट्रोल,
104,शेर,मांद,खरगोश,बिल,शेर : मांद :: खरगोश : ?,1,बिल,छेद,गड्ढा,बिल,खाई,
105,जहाज,कप्तान,अखबार,सम्पादक,जहाज : कप्तान :: अखबार : ?,1,सम्पादक,पाठक,मुद्रक,प्रकाशक,सम्पादक,
106,अनूठापन,साधारण,पुरानापन,नयापन,अनूठापन : साधारण :: पुरानापन : ?,1,नयापन,आदर्श,पुरातनता,नयापन,संस्कृति,
107,मछली,जल,चिड़िया,आकाश,मछली : जल :: चिड़िया : ?,1,आकाश,जल,भोजन,आकाश,वायु,
108,इच्छा,अनिच्छा,सन्तुष्टि,असन्तुष्टि,इच्छा : अनिच्छा :: सन्तुष्टि : ?,1,असन्तुष्टि,निराशा,असन्तुष्टि,तृप्ति,अप्रसन्नता,
109,अच्छा,बुरा,छत,फर्श,अच्छा : बुरा :: छत : ?,1,फर्श,दीवार,खम्भा,खिड़की,फर्श,
110,पहाड़,घाटी,शत्रु,संघर्ष,पहाड़ : घाटी :: शत्रु : ?,1,संघर्ष,देश,परदेशी,संघर्ष,मित्र,
111,अपराध,पुलिस,बाढ़,बाँध,अपराध : पुलिस :: बाढ़ : ?,1,बाँध,वर्षा,नदी,बाँध,जलाश्य,
112,गाय,बछड़ा,घोड़ी,टट्टू,गाय : बछड़ा :: घोड़ी : ?,1,टट्टू,पिल्ला,टट्टू,शावक,बिलौटा,
113,पार्लियामेन्ट,ग्रेट ब्रिटेन,काँग्रेस,यूएसए,पार्लियामेन्ट : ग्रेट ब्रिटेन :: काँग्रेस : ?,1,यूएसए,जापान,इण्डिया,यूएसए,नीदरलैण्ड्स,
114,तैरना,मछली,रेंगना,साँप,तैरना : मछली :: रेंगना : ?,1,साँप,खरगोश,मेंढक,साँप,बन्दर,
115,दुर्घटना,सावधानी,बीमारी,स्वच्छता,दुर्घटना : सावधानी :: बीमारी : ?,1,स्वच्छता,जीवाणु,प्रदूषण,स्वच्छता,डॉक्टर,इनमें से कोई नहीं
116,फैक्ट्री,उत्पादन,स्कूल,शिक्षा,फैक्ट्री : उत्पादन :: स्कूल : ?,1,शिक्षा,निर्माण,शिक्षा,शिक्षक,अनुशासन,
117,न्याय,अदालत,विद्यालय,शिक्षा,न्याय : अदालत :: विद्यालय : ?,1,शिक्षा,शिक्षक,छात्र,कक्षा,शिक्षा,
118,ऊन,भेड़,रेशम,कीड़ा,ऊन : भेड़ :: रेशम : ?,1,कीड़ा,तसर,कीड़ा,मधुमक्खी,मलबरी,
119,डॉक्टर,स्टेथोस्कोप,पेन्टर,ब्रश,डॉक्टर : स्टेथोस्कोप :: पेन्टर : ?,1,ब्रश,पेंटिंग,ब्रश,प्रदर्शनी,कला,
120,औषधि,कमजोरी,किताब,अज्ञानता,औषधि : कमजोरी :: किताब : ?,1,अज्ञानता,अज्ञानता,लेखन,ज्ञान,रोग,
121,पायरिया,दाँत,ट्रकोमा,आँख,पायरिया : दाँत :: ट्रकोमा : ?,1,आँख,कान,नाक,आँख,गला,
122,घड़ी,समय,स्पीड मीटर,रफ्तार,घड़ी : समय :: स्पीड मीटर : ?,1,रफ्तार,रफ्तार,दूरी,कलाई,रेत,
123,अशिक्षित,शिक्षा,रोगी,औषधि,अशिक्षित : शिक्षा :: रोगी : ?,1,औषधि,औषधि,चिकित्सक,शिक्षक,स्टेथोस्कोप,
124,युद्धनीतिज्ञ,अभियान,राजनीतिज्ञ,राजनीति,युद्धनीतिज्ञ : अभियान :: राजनीतिज्ञ : ?,1,राजनीति,राजनीति,अव्यवस्था,चित्रण,प्रेरणा,
125,मूल्य निर्धारक,भवन,समीक्षक,पुस्तक,मूल्य निर्धारक : भवन :: समीक्षक : ?,1,पुस्तक,स्वर्ण,श्रेष्ठकृति,न्यायाधीश,पुस्तक,
126,दूध,क्रीम,धान,चावल,दूध : क्रीम :: धान : ?,1,चावल,भूसी,चोकर,चावल,खेत,
127,गहरा,महासागर,उथला,तालाब,गहरा : महासागर :: उथला : ?,1,तालाब,झरना,गहराई,तालाब,कुँआ,
128,पादरी,चोगा,वकील,कोट,पादरी : चोगा :: वकील : ?,1,कोट,कोट,टोपी,लबादा,टाई,
129,महासागर,तालाब,किलोमीटर,मिलीमीटर,महासागर : तालाब :: किलोमीटर : ?,1,मिलीमीटर,मीटर,मिलीमीटर,सेन्टीमीटर,डेसीमीटर,
130,पैर,जूते,हाथ,दस्ताना,पैर : जूते :: हाथ : ?,1,दस्ताना,अँगुली,बाजू,दस्ताना,लिखना,
131,खाड़ी,भूमि,समुद्र,प्रायद्वीप,खाड़ी : भूमि :: समुद्र : ?,1,प्रायद्वीप,टापू,भू-सन्धि,जलग्रीवा,प्रायद्वीप,
132,सफलता,खुशी,असफलता,दु:ख,सफलता : खुशी :: असफलता : ?,1,दु:ख,क्रोध,दु:ख,प्रसन्न,पराजय,
133,टका,बांग्लादेश,युआन,चीन,टका : बांग्लादेश :: युआन : ?,1,चीन,कम्बोडिया,भारत,पाकिस्तान,चीन,
134,नारियल,खोल,पत्र,लिफाफा,नारियल : खोल :: पत्र : ?,1,लिफाफा,लिफाफा,पत्रालय,सन्देश,डाकघर,
135,मूली,मूल,बैंगन,फल,मूली : मूल :: बैंगन : ?,1,फल,फल,तना,फूल,मूल,इनमें से कोई नहीं
136,माता,बच्चे,वृक्ष,फूल,माता : बच्चे :: वृक्ष : ?,1,फूल,बालवृक्ष,झाड़,झाड़ी,फूल,
137,पहिया,वृत्त,सन्तरा,दीर्घवृत्त,पहिया : वृत्त :: सन्तरा : ?,1,दीर्घवृत्त,बेलन,वर्तुल,दीर्घवृत्त,घनाभ,
138,अमरूद,फल,गाजर,जड़,अमरूद : फल :: गाजर : ?,1,जड़,तना,फल,फूल,जड़,
139,गाय,बछड़ा,शेरनी,शावक,गाय : बछड़ा :: शेरनी : ?,1,शावक,शेरू,पिल्ला,शावक,चूजा,
140,लोहा,धातु,पीतल,मिश्रधातु,लोहा : धातु :: पीतल : ?,1,मिश्रधातु,लोहा,मिश्रधातु,ताँबा,जिंक,
141,लकड़ी,पॉलिश,लोहा,जस्तीकरण,लकड़ी : पॉलिश :: लोहा : ?,1,जस्तीकरण,उद्योग,अयस्क,खान,जस्तीकरण,इनमें से कोई नहीं
142,पंखुड़ी,फूल,खिलाड़ी,टीम,पंखुड़ी : फूल :: खिलाड़ी : ?,1,टीम,खेल,स्पोर्ट्स,टीम,प्रतियोगिता,
143,पानी,प्यास,भोजन,भूख,पानी : प्यास :: भोजन : ?,1,भूख,खाना,रसोइया,भूख,भूखे,इनमें से कोई नहीं
144,जाओ,आओ,ऊँचा,नीचा,जाओ : आओ :: ऊँचा : ?,1,नीचा,ऊपर,नीचा,जम्प,स्टैण्ड,
145,पत्ता,हरा,दूध,सफेद,पत्ता : हरा :: दूध : ?,1,सफेद,भूरा,सफेद,गाय,दही,इनमें से कोई नहीं
146,लाल,रूकना,हरा,चलना,लाल : रूकना :: हरा : ?,1,चलना,रंग,पेन्ट,दिया,चलना,
147,कप्तान,टीम,डायरेक्टर,संस्था,कप्तान : टीम :: डायरेक्टर : ?,1,संस्था,निरीक्षक,कर्मचारी,संस्था,संघ,ग्राहक
148,राइट,रोट,हर्टिंग,हर्ट,राइट : रोट :: हर्टिंग : ?,1,हर्ट,हर्टेड,हर्टिंग,हर्ट,हर्ट्स,
149,स्थूल,दुबला,निष्क्रिय,क्रियाशील,स्थूल : दुबला :: निष्क्रिय : ?,1,क्रियाशील,परिश्रमी,सद्गुणी,समर्थता,व्यस्तता,क्रियाशील
150,पत्रिका,सम्पादक,नाटक,निर्देशक,पत्रिका : सम्पादक :: नाटक : ?,1,निर्देशक,आचार्य,अभिनेत्री,पटकथा,निर्देशक,
151,गैस,ऑक्सीजन,द्रव,जल,गैस : ऑक्सीजन :: द्रव : ?,1,जल,प्रवाह,वाष्प,नदी,समुद्र,जल
152,पैर,मनुष्य,खुर,गाय,पैर : मनुष्य :: खुर : ?,1,गाय,कुत्ता,गाय,बिल्ली,खरगोश,
153,पंखा,ब्लेड,पहिया,तिल्लियाँ,पंखा : ब्लेड :: पहिया : ?,1,तिल्लियाँ,कार,गोल,तिल्लियाँ,वायु,घूर्णन
154,गणित,तर्क,विज्ञान,प्रयोग,गणित : तर्क :: विज्ञान : ?,1,प्रयोग,प्रयोग,प्रयोगशाला,वैज्ञानिक,तथ्य,
155,ताला,चाबी,अपराध,जाँच,ताला : चाबी :: अपराध : ?,1,जाँच,जाँच,रहस्य,अपराधी,दोषसिद्धि,
156,सही,गलत,सीधा,वक्र,सही : गलत :: सीधा : ?,1,वक्र,उधार,झुकाव,वक्र,सुधार,
157,रेडियो,श्रोता,चलचित्र,दर्शक,रेडियो : श्रोता :: चलचित्र : ?,1,दर्शक,प्रसारण,आलोचक,अभिनेता,दर्शक,
158,चाकू,कटना,बन्दूक,गोली मारना,चाकू : कटना :: बन्दूक : ?,1,गोली मारना,खोदना,पकड़,गोली मारना,स्कूप,
159,पुस्तक,पुस्तकालय,चिड़िया,चिड़ियाघर,पुस्तक : पुस्तकालय :: चिड़िया : ?,1,चिड़ियाघर,पालतू,शिकारी,जंगली,चिड़ियाघर,
160,बांध,पानी,बैंक,रुपये,बांध : पानी :: बैंक : ?,1,रुपये,कर्मचारी,रुपये,ग्राहक,बिल्डिंग,
161,ग्रीष्म,ग्रीष्मनिष्क्रिता,शीत,शीतनिष्क्रिता,ग्रीष्म : ग्रीष्मनिष्क्रिता :: शीत : ?,1,शीतनिष्क्रिता,शीतलता,शीतनिष्क्रिता,ठंडक,बर्फ,
162,स्वस्थ्य,बीमारी,आनंद,दु:ख,स्वस्थ्य : बीमारी :: आनंद : ?,1,दु:ख,औषधि,उपचार,दु:ख,प्रसन्नचित,
