Variable,Assertion Type,Code Cell,Line Number
nbtest_tmpvar_9,UNKNOWN__plot,25,7
nbtest_tmpvar_9,UNKNOWN__xlim,25,8
nbtest_tmpvar_9,UNKNOWN__ylim,25,9
nbtest_tmpvar_9,UNKNOWN__xlabel,25,10
nbtest_tmpvar_9,UNKNOWN__ylabel,25,11
nbtest_tmpvar_9,UNKNOWN__title,25,12
nbtest_tmpvar_9,UNKNOWN__legend,25,13
nbtest_tmpvar_9,UNKNOWN__show,25,14
"sklearn.metrics.roc_auc_score(y_test, y_pred)",MODEL_PERF__roc_auc_score,25,15
nbtest_tmpvar_9,MODEL_ARCH__fit,26,3
cm,MODEL_PERF__confusion_matrix,26,5
nbtest_tmpvar_10,UNKNOWN__plot,26,7
nbtest_tmpvar_10,UNKNOWN__show,26,8
"accuracy_score(y_test, y_pred)",MODEL_PERF__accuracy_score,26,10
roc_auc,MODEL_PERF__auc,27,4
nbtest_tmpvar_10,UNKNOWN__figure,27,5
nbtest_tmpvar_10,UNKNOWN__plot,27,6
nbtest_tmpvar_10,UNKNOWN__plot,27,7
nbtest_tmpvar_10,UNKNOWN__xlim,27,8
nbtest_tmpvar_10,UNKNOWN__ylim,27,9
nbtest_tmpvar_10,UNKNOWN__xlabel,27,10
nbtest_tmpvar_10,UNKNOWN__ylabel,27,11
nbtest_tmpvar_10,UNKNOWN__title,27,12
nbtest_tmpvar_10,UNKNOWN__legend,27,13
nbtest_tmpvar_10,UNKNOWN__show,27,14
"sklearn.metrics.roc_auc_score(y_test, y_pred)",MODEL_PERF__roc_auc_score,27,15
